title,source_country,date,url,clean_text,headline_length_words,month
İran  ın İsraile attığı füzenin parçasının Batı Şeriaya düşmesi sonucu 4 Filistinli hayatını kaybetti,Turkey,2026-03-18 23:30:00,https://www.aa.com.tr/tr/dunya/iranin-israile-attigi-fuzenin-parcasinin-bati-seriaya-dusmesi-sonucu-4-filistinli-hayatini-kaybetti/3870644,i ran ın i sraile attığı füzenin parçasının batı şeriaya düşmesi sonucu 4 filistinli hayatını kaybetti,16,2026-03
"EuroPalestine Derneği Başkanı Zemor , Filistini savunduğu için  skandal bir ceza  aldığını söyledi Açıklaması",Turkey,2026-04-07 09:15:00,https://www.haberler.com/guncel/europalestine-dernegi-baskani-zemor-filistin-i-19724257-haberi/,europalestine derneği başkanı zemor filistini savunduğu için skandal bir ceza aldığını söyledi açıklaması,13,2026-04
Orta Doğuda çok katmanlı çatışma analizi : Din - G ve Jeopolitik Savaş,Turkey,2026-04-02 09:30:00,https://www.haberturk.com/orta-doguda-cok-katmanli-catisma-analizi-din-guc-ve-jeopolitik-savas-3874249,orta doğuda çok katmanlı çatışma analizi din g ve jeopolitik savaş,11,2026-04
İspanyadan İsraile son dakika Filistin resti !  Kabul edilemez  deyip ilan ettiler,Turkey,2026-03-15 21:15:00,https://www.haber7.com/dunya/haber/3612309-ispanyadan-israile-son-dakika-filistin-resti-kabul-edilemez-deyip-ilan-ettiler,i spanyadan i sraile son dakika filistin resti kabul edilemez deyip ilan ettiler,13,2026-03
"İsrail ordusu , Batı Şeriada biri kadın 17 Filistinliyi gözaltına aldı",Turkey,2026-04-15 08:15:00,https://www.haberler.com/guncel/israil-ordusu-bati-seria-da-biri-kadin-17-19750819-haberi/,i srail ordusu batı şeriada biri kadın 17 filistinliyi gözaltına aldı,11,2026-04
Hakan Fidan : Dünya İsrailin sabotajlarına ses çıkarmalı,Turkey,2026-04-09 15:30:00,https://www.haber7.com/dunya/haber/3618758-hakan-fidan-dunya-israilin-sabotajlarina-ses-cikarmali,hakan fidan dünya i srailin sabotajlarına ses çıkarmalı,8,2026-04
Batı Şeriada bir yılda 36 bin Filistinli yerinden edildi,Turkey,2026-03-18 10:15:00,https://www.haksozhaber.net/bati-seriada-bir-yilda-36-bin-filistinli-yerinden-edildi-201486h.htm,batı şeriada bir yılda 36 bin filistinli yerinden edildi,9,2026-03
"İsrail ordusu , Batı Şeriadaki baskınlarda 50  den fazla Filistinliyi gözaltına aldı",Turkey,2026-04-20 09:45:00,https://www.haberler.com/guncel/israil-ordusu-bati-seria-daki-baskinlarda-50-den-19766271-haberi/,i srail ordusu batı şeriadaki baskınlarda 50 den fazla filistinliyi gözaltına aldı,12,2026-04
"Filistin , Batı Şeriadaki İsrail saldırılarında 1 , 3 milyon dolar zarar oluştuğunu açıkladı",Turkey,2026-03-01 18:15:00,https://www.bursadabugun.com/haber/filistin-bati-seria-daki-israil-saldirilarinda-1-3-milyon-dolar-zarar-olustugunu-acikladi-1897174.html,filistin batı şeriadaki i srail saldırılarında 1 3 milyon dolar zarar oluştuğunu açıkladı,13,2026-03
Kalyon Kültürde Filistine destek amacıyla  Sessiz Ayakkabılar  sergisi açıldı,Turkey,2026-03-14 09:45:00,https://www.gunes.com/sanat/kalyon-kulturde-filistine-destek-amaciyla-sessiz-ayakkabilar-sergisi-acildi-1225666,kalyon kültürde filistine destek amacıyla sessiz ayakkabılar sergisi açıldı,9,2026-03
Rusyadan ABD ve İrana  müzakereleri baltalayacak eylemlerden kaçınma  çağrısı,Turkey,2026-04-11 14:15:00,https://www.haksozhaber.net/rusyadan-abd-ve-irana-muzakereleri-baltalayacak-eylemlerden-kacinma-cagrisi-202884h.htm,rusyadan abd ve i rana müzakereleri baltalayacak eylemlerden kaçınma çağrısı,10,2026-04
Filistin topraklarını gasbeden İsrailli yerleşimciler Batı Şeriada bir Filistinliyi vurarak öldürdü,Turkey,2026-03-07 16:45:00,https://www.haberler.com/guncel/israilli-yerlesimcilerin-saldirisinda-bir-filistinli-hayatini-kaybetti-19634893-haberi/,filistin topraklarını gasbeden i srailli yerleşimciler batı şeriada bir filistinliyi vurarak öldürdü,12,2026-03
İsveç  te İsrailin saldırılarına protesto,Turkey,2026-04-18 17:45:00,https://haber.mynet.com/isvec-te-israil-in-saldirilarina-protesto-110107289508,i sveç te i srailin saldırılarına protesto,7,2026-04
"MİT Başkanı Kalın , Hamas heyeti ile Gazzeyi görüştü",Turkey,2026-04-01 01:15:00,https://www.haberankara.com/gundem/mit-baskani-kalin-hamas-heyeti-ile-gazzeyi-gorustu-312538,mi t başkanı kalın hamas heyeti ile gazzeyi görüştü,9,2026-04
İsrail askerleri işgal altındaki Batı Şeriada 2 Filistinli çocuğu öldürdü,Turkey,2026-03-17 01:00:00,http://www.haberler.com/guncel/israil-askerleri-bati-seria-da-2-filistinli-cocugu-oldurdu-19664174-haberi/,i srail askerleri işgal altındaki batı şeriada 2 filistinli çocuğu öldürdü,11,2026-03
"İsrail ordusu , Batı Şeriada düzenlediği baskınlarda 26 Filistinliyi gözaltına aldı",Turkey,2026-03-15 10:30:00,http://www.haberler.com/guncel/israil-ordusu-bati-seria-da-26-filistinliyi-gozaltina-aldi-19659768-haberi/,i srail ordusu batı şeriada düzenlediği baskınlarda 26 filistinliyi gözaltına aldı,11,2026-03
